timestamp,lat,lon,vel,elev,prox,warninglight
a23:19:46.0 28/11/2017,37.8666,-122.2617,3.03,65.1,0,0
a23:19:47.0 28/11/2017,37.8666,-122.2616,3.44,65.1,0,0
a23:19:48.0 28/11/2017,37.8666,-122.2616,2.96,65.1,0,0
a23:19:50.0 28/11/2017,37.8667,-122.2616,2.87,65.1,0,0
a23:19:51.0 28/11/2017,37.8667,-122.2616,2.72,65.1,0,0
a23:19:52.984 28/11/2017,37.8667,-122.2615,2.75,65.1,0,0
a23:19:54.0 28/11/2017,37.8667,-122.2615,3.16,65.1,0,0
a23:19:55.0 28/11/2017,37.8667,-122.2615,3.13,65.1,0,0
a23:19:56.984 28/11/2017,37.8667,-122.2615,2.8,65.1,0,0
a23:19:58.0 28/11/2017,37.8667,-122.2614,2.83,65.1,0,0
a23:19:59.0 28/11/2017,37.8667,-122.2614,3.06,65.1,0,0
a23:20:0.984 28/11/2017,37.8667,-122.2614,2.81,65.1,0,0
a23:20:2.0 28/11/2017,37.8667,-122.2614,2.71,65.1,0,0
a23:20:4.0 28/11/2017,37.8667,-122.2613,3.01,65.1,0,0
a23:20:4.984 28/11/2017,37.8667,-122.2613,2.84,65.1,0,0
a23:20:6.0 28/11/2017,37.8667,-122.2613,3.12,65.1,0,0
a23:20:8.0 28/11/2017,37.8667,-122.2613,2.45,65.1,0,0
a23:20:8.984 28/11/2017,37.8667,-122.2612,2.6,65.1,0,0
a23:20:10.0 28/11/2017,37.8667,-122.2612,2.11,65.1,0,0
a23:20:12.0 28/11/2017,37.8667,-122.2612,2.05,65.1,0,0
a23:20:12.984 28/11/2017,37.8668,-122.2612,2,65.1,0,0
a23:20:14.0 28/11/2017,37.8668,-122.2612,2.18,65.1,0,0
a23:20:16.0 28/11/2017,37.8668,-122.2612,2.5,65.1,0,0
a23:20:16.984 28/11/2017,37.8668,-122.2612,3.37,65.1,0,0
a23:20:18.0 28/11/2017,37.8668,-122.2612,2.73,65.1,0,0
a23:20:20.0 28/11/2017,37.8668,-122.2612,2.99,65.1,0,0
a23:20:20.984 28/11/2017,37.8669,-122.2612,2.44,65.1,0,0
a23:20:22.0 28/11/2017,37.8669,-122.2612,2.41,65.1,0,0
a23:20:24.984 28/11/2017,37.8669,-122.2612,2.37,65.1,1,0
a23:20:26.0 28/11/2017,37.8669,-122.2612,2.7,65.1,0,0
a23:20:27.0 28/11/2017,37.8669,-122.2612,3.32,65.1,0,0
a23:20:28.984 28/11/2017,37.867,-122.2612,2.54,65.1,0,0
a23:20:30.0 28/11/2017,37.867,-122.2612,2.69,65.1,0,0
a23:20:31.0 28/11/2017,37.867,-122.2612,3.31,65.1,0,0
a23:20:32.984 28/11/2017,37.8671,-122.2612,2.95,65.1,0,0
a23:20:34.0 28/11/2017,37.8671,-122.2612,2.55,65.1,0,0
a23:20:35.0 28/11/2017,37.8671,-122.2612,2.74,65.1,0,0
a23:20:36.984 28/11/2017,37.8671,-122.2612,3.09,65.1,0,0
a23:20:38.0 28/11/2017,37.8671,-122.2612,2.91,65.1,0,0
